Coefficient,MAE,Exp_Var
1.291189378734143,5.5310901050987145,0.9239026961737301
0.30040712261704616,5.5310901050987145,0.9239026961737301
0.10177097057968751,5.5310901050987145,0.9239026961737301
0.3731847295846687,5.5310901050987145,0.9239026961737301
0.7713946338295101,5.5310901050987145,0.9239026961737301
1.578661706899002,5.5310901050987145,0.9239026961737301
1.3808218388818174,5.5310901050987145,0.9239026961737301
0.37801424918951104,5.5310901050987145,0.9239026961737301
1.2665717229829283,5.5310901050987145,0.9239026961737301
0.7175923632457428,5.5310901050987145,0.9239026961737301
1.665804252399777,5.5310901050987145,0.9239026961737301
0.14916625064050135,5.5310901050987145,0.9239026961737301
0.23262868863719494,5.5310901050987145,0.9239026961737301
0.43841715752797633,5.5310901050987145,0.9239026961737301
0.4028426249786999,5.5310901050987145,0.9239026961737301
0.8296411706207092,5.5310901050987145,0.9239026961737301
0.3104772483073915,5.5310901050987145,0.9239026961737301
1.9827076146717464,5.5310901050987145,0.9239026961737301
19.89339730533194,5.5310901050987145,0.9239026961737301
0.09540706406669552,5.5310901050987145,0.9239026961737301
0.6063070233814893,5.5310901050987145,0.9239026961737301
0.7666226179933395,5.5310901050987145,0.9239026961737301
